ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis
25;3;12;490;9;0,25;0,5;0,8;1;0;6176;617,6;1500
26;3;13;480;14;0,25;0,5;0,8;1;0;6093;609,3;1500
27;5;13;520;2;0,25;0,5;0,8;1;0;5735;573,5;1500
28;4;14;500;2;0,25;0,5;0,8;1;0;5474;547,4;1500
29;3;14;480;2;0,25;0,5;0,8;1;0;5300;530;1500
30;2;14;420;3;0,25;0,5;0,8;1;0;5031;503,1;1500
31;5;14;460;13;0,25;0,5;0,8;1;0;4592;459,2;1500
32;4;16;450;4;0,25;0,5;0,8;1;0;4386;438,6;1500
33;3;16;490;6;0,25;0,5;0,8;1;0;4261;426,1;1500
34;3;17;500;4;0,25;0,5;0,8;1;0;4158;415,8;1500
35;2;18;390;10;0,25;0,5;0,8;1;0;3957;395,7;1500
36;5;18;430;6;0,25;0,5;0,8;1;0;3677;367,7;1500
37;4;18;420;2;0,25;0,5;0,8;1;0;3604;360,4;1500
38;3;19;400;6;0,25;0,5;0,8;1;0;3507;350,7;1500
39;5;19;390;4;0,25;0,5;0,8;1;0;3225;322,5;1500
40;1;19;430;8;0,25;0,5;0,8;1;0;3015;301,5;1500
41;4;20;380;4;0,25;0,5;0,8;1;0;2845;284,5;1500
42;2;22;360;6;0,25;0,5;0,8;1;0;2717;271,7;1500
43;6;22;350;2;0,25;0,5;0,8;1;0;2588;258,8;1500
44;4;22;400;4;0,25;0,5;0,8;1;0;2570;257;1500
45;3;24;390;10;0,25;0,5;0,8;1;0;2351;235,1;1500
46;1;25;380;9;0,25;0,5;0,8;1;0;2226;222,6;1500
47;3;25;370;18;0,25;0,5;0,8;1;0;2094;209,4;1500
48;4;27;350;4;0,25;0,5;0,8;1;0;1959;195,9;1500
49;2;28;360;4;0,25;0,5;0,8;1;0;1793;179,3;1500
50;3;28;350;2;0,25;0,5;0,8;1;0;1718;171,8;1500
51;6;29;330;10;0,25;0,5;0,8;1;0;1559;155,9;1500
52;2;30;340;9;0,25;0,5;0,8;1;0;1457;145,7;1500
53;1;30;320;6;0,25;0,5;0,8;1;0;1356;135,6;1500
54;4;32;340;8;0,25;0,5;0,8;1;0;1258;125,8;1500
55;3;32;350;4;0,25;0,5;0,8;1;0;1258;125,8;1500
56;6;33;330;6;0,25;0,5;0,8;1;0;1256;125,6;1500
57;2;34;320;16;0,25;0,5;0,8;1;0;1235;123,5;1500
58;1;34;310;4;0,25;0,5;0,8;1;0;1148;114,8;1500
59;4;34;300;4;0,25;0,5;0,8;1;0;1050;105;1500
60;2;36;340;12;0,25;0,5;0,8;1;0;975;97,5;1500
61;3;37;350;6;0,25;0,5;0,8;1;0;929;92,9;1500
62;5;37;360;8;0,25;0,5;0,8;1;0;889;88,9;1500
63;2;39;350;12;0,25;0,5;0,8;1;0;851;85,1;1500
64;3;39;340;4;0,25;0,5;0,8;1;0;776;77,6;1500
65;5;41;320;12;0,25;0,5;0,8;1;0;712;71,2;1500
66;1;41;340;4;0,25;0,5;0,8;1;0;690;69;1500
67;4;41;330;8;0,25;0,5;0,8;1;0;678;67,8;1500
68;8;42;300;12;0,25;0,5;0,8;1;0;633;63,3;1500
69;3;43;320;2;0,25;0,5;0,8;1;0;607;60,7;1500
70;4;43;330;8;0,25;0,5;0,8;1;0;594;59,4;1500
71;5;44;350;4;0,25;0,5;0,8;1;0;580;58;1500
72;3;45;340;10;0,25;0,5;0,8;1;0;568;56,8;1500
73;2;45;290;10;0,25;0,5;0,8;1;0;514;51,4;1500
74;3;46;310;18;0,25;0,5;0,8;1;0;491;49,1;1500
75;5;47;330;18;0,25;0,5;0,8;1;0;475;47,5;1500
76;2;48;280;4;0,25;0,5;0,8;1;0;466;46,6;1500
77;4;48;270;16;0,25;0,5;0,8;1;0;455;45,5;1500
78;2;50;260;6;0,25;0,5;0,8;1;0;417;41,7;1500
79;7;50;250;4;0,25;0,5;0,8;1;0;397;39,7;1500
80;3;50;310;4;0,25;0,5;0,8;1;0;358;35,8;1500
81;6;52;300;9;0,25;0,5;0,8;1;0;335;33,5;1500
82;5;53;280;6;0,25;0,5;0,8;1;0;334;33,4;1500
83;10;53;260;18;0,25;0,5;0,8;1;0;318;31,8;1500
84;2;55;250;12;0,25;0,5;0,8;1;0;318;31,8;1500
85;3;56;250;12;0,25;0,5;0,8;1;0;291;29,1;1500
86;4;56;240;18;0,25;0,5;0,8;1;0;285;28,5;1500
87;6;58;260;8;0,25;0,5;0,8;1;0;260;26;1500
88;5;58;290;16;0,25;0,5;0,8;1;0;240;24;1500
89;1;58;240;4;0,25;0,5;0,8;1;0;228;22,8;1500
90;2;60;250;12;0,25;0,5;0,8;1;0;222;22,2;1500
91;4;62;280;8;0,25;0,5;0,8;1;0;219;21,9;1500
92;3;62;260;24;0,25;0,5;0,8;1;0;204;20,4;1500
93;5;64;240;8;0,25;0,5;0,8;1;0;185;18,5;1500
94;2;64;250;4;0,25;0,5;0,8;1;0;182;18,2;1500
95;3;66;230;8;0,25;0,5;0,8;1;0;179;17,9;1500
96;4;66;220;4;0,25;0,5;0,8;1;0;177;17,7;1500
97;1;66;240;8;0,25;0,5;0,8;1;0;166;16,6;1500
98;5;69;210;4;0,25;0,5;0,8;1;0;162;16,2;1500
99;3;70;200;8;0,25;0,5;0,8;1;0;160;16;1500
100;2;71;250;12;0,25;0,5;0,8;1;0;157;15,7;1500
101;1;71;260;16;0,25;0,5;0,8;1;0;153;15,3;1500
102;4;71;220;8;0,25;0,5;0,8;1;0;141;14,1;1500
103;2;74;210;18;0,25;0,5;0,8;1;0;138;13,8;1500
104;1;75;200;36;0,25;0,5;0,8;1;0;129;12,9;1500
105;3;76;190;8;0,25;0,5;0,8;1;0;127;12,7;1500
106;4;76;230;16;0,25;0,5;0,8;1;0;115;11,5;1500
107;5;78;200;6;0,25;0,5;0,8;1;0;109;10,9;1500
108;1;79;180;4;0,25;0,5;0,8;1;0;99;9,9;1500
109;4;79;160;8;0,25;0,5;0,8;1;0;97;9,7;1500
110;4;79;150;12;0,25;0,5;0,8;1;0;90;9;1500
111;2;82;170;12;0,25;0,5;0,8;1;0;88;8,8;1500
112;2;84;180;24;0,25;0,5;0,8;1;0;83;8,3;1500
113;1;87;140;80;0,25;0,5;0,8;1;0;78;7,8;1500
114;3;87;150;16;0,25;0,5;0,8;1;0;73;7,3;1500
115;4;87;160;8;0,25;0,5;0,8;1;0;67;6,7;1500
116;5;87;140;8;0,25;0,5;0,8;1;0;61;6,1;1500
117;6;91;120;16;0,25;0,5;0,8;1;0;61;6,1;1500
118;7;94;80;16;0,25;0,5;0,8;1;0;56;5,6;1500
119;2;96;70;16;0,25;0,5;0,8;1;0;52;5,2;1500
120;5;96;90;4;0,25;0,5;0,8;1;0;48;4,8;1500
121;1;102;60;8;0,25;0,5;0,8;1;0;46;4,6;1500
122;3;108;55;12;0,25;0,5;0,8;1;0;42;4,2;1500
123;4;108;100;4;0,25;0,5;0,8;1;0;39;3,9;1500
